run_id,model,ptq_method,strategy,task,bits_w,bits_a,exit_layer,num_speculations,tokens_per_sec,decode_tps,prefill_tps,ms_per_token,speedup_vs_fp16_ar,acceptance_rate,rouge_l,rouge_1,rouge_2,bleu,joules_per_token,total_joules,avg_power_w,gpu_util_percent,cpu_util_percent,gpu_mem_used_mb
layerskip-llama2-13B__awq__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,awq,self_speculative,cnn_dm_summarization,4,16,30,6,2.122,2.181,445.014,487.187,1.0,0.5434,0.12463051825761795,0.18661823868751526,0.05496452376246452,0.0,1.2869,28203.039,257.2,96.0,0.7,33988.608
layerskip-llama2-13B__fp16__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,fp16,self_speculative,cnn_dm_summarization,16,16,30,6,22.67,24.856,2672.447,45.669,1.0,0.5448,0.13290441036224365,0.20389115810394287,0.059719935059547424,0.0,0.1232,2360.097,226.67,91.3,1.1,26937.344
layerskip-llama2-13B__awq__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,awq,self_speculative,cnn_dm_summarization,4,16,30,6,2.122,2.181,445.014,487.187,1.0,0.5434,0.12463051825761795,0.18661823868751526,0.05496452376246452,0.0,1.2869,28203.039,257.2,96.0,0.7,33988.608
layerskip-llama2-13B__awq__self_speculative__xsum_summarization,facebook/layerskip-llama2-13B,awq,self_speculative,xsum_summarization,4,16,30,6,1.939,2.023,280.128,534.605,1.0,0.4836,0.10114116966724396,0.13009552657604218,0.03458675742149353,0.0,1.8001,32409.527,259.21,96.1,0.7,33226.752
layerskip-llama2-13B__fp16__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,fp16,self_speculative,cnn_dm_summarization,16,16,30,6,22.67,24.856,2672.447,45.669,1.0,0.5448,0.13290441036224365,0.20389115810394287,0.059719935059547424,0.0,0.1232,2360.097,226.67,91.3,1.1,26937.344
layerskip-llama2-13B__fp16__self_speculative__xsum_summarization,facebook/layerskip-llama2-13B,fp16,self_speculative,xsum_summarization,16,16,30,6,22.341,24.343,1826.204,46.159,1.0,0.5083,0.10148989409208298,0.1344333291053772,0.033601339906454086,0.0,0.1006,1876.947,223.07,92.3,1.2,26416.128
layerskip-llama2-13B__gptq__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,gptq,self_speculative,cnn_dm_summarization,4,16,30,6,1.675,1.718,464.708,619.047,1.0,0.3927,0.12753450870513916,0.19472959637641907,0.051580119878053665,0.0,1.7065,43028.858,261.35,96.1,0.7,34192.384
layerskip-llama2-13B__gptq__self_speculative__xsum_summarization,facebook/layerskip-llama2-13B,gptq,self_speculative,xsum_summarization,4,16,30,6,1.504,1.534,230.179,689.319,1.0,0.3327,0.09195733070373535,0.11763761192560196,0.03177877888083458,0.0,0.8789,20602.507,261.91,95.9,0.7,33525.76
layerskip-llama2-13B__int8_bnb__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,int8_bnb,self_speculative,cnn_dm_summarization,8,8,30,6,6.387,6.658,1076.991,162.018,1.0,0.5534,0.13440147042274475,0.19837318360805511,0.06449385732412338,0.0,0.1707,3731.76,107.64,36.9,0.7,15607.808
layerskip-llama2-13B__int8_bnb__self_speculative__xsum_summarization,facebook/layerskip-llama2-13B,int8_bnb,self_speculative,xsum_summarization,8,8,30,6,5.785,6.003,646.669,177.875,1.0,0.4838,0.10356790572404861,0.14103363454341888,0.03639413043856621,0.0,0.2071,4138.945,107.2,37.1,0.7,16003.072
layerskip-llama2-13B__smoothquant__self_speculative__cnn_dm_summarization,facebook/layerskip-llama2-13B,smoothquant,self_speculative,cnn_dm_summarization,8,8,30,6,22.546,24.359,2552.281,45.721,1.0,0.5324,0.13107159733772278,0.194978728890419,0.05405202507972717,0.0,0.0914,1943.338,241.13,94.1,0.7,27044.864
layerskip-llama2-13B__smoothquant__self_speculative__xsum_summarization,facebook/layerskip-llama2-13B,smoothquant,self_speculative,xsum_summarization,8,8,30,6,22.097,24.253,1780.288,47.17,1.0,0.5073,0.11630529165267944,0.15040870010852814,0.0389220230281353,0.0,0.0954,1588.985,242.4,94.8,0.7,26411.008
